"Plot","Species.Code","Year","Percent.Cover","Num","Cover.Class","Elevation.m","Data.Type","Fires"
"1001","FRXX",1980,NA,45,"1",617,"Legacy","Unburned"
"1001","TRBO",1980,NA,118,"1",617,"Legacy","Unburned"
"1001","MANE",1980,NA,76,"2",617,"Legacy","Unburned"
"1001","GASH",1980,NA,49,"2",617,"Legacy","Unburned"
"1001","MOSS",1980,NA,79,"4",617,"Legacy","Unburned"
"1001","LIBO",1980,NA,64,"1",617,"Legacy","Unburned"
"1001","POMU",1980,NA,91,"1",617,"Legacy","Unburned"
"1001","VAXX",1980,NA,126,"1",617,"Legacy","Unburned"
"1002","ARUV",1980,NA,15,"1",457,"Legacy","Unburned"
"1002","ANMA",1980,NA,11,"1",457,"Legacy","Unburned"
"1002","ACMI",1980,NA,3,"1",457,"Legacy","Unburned"
"1002","FEXX",1980,NA,44,"1",457,"Legacy","Unburned"
"1003","MOSS",1980,NA,79,"2",594,"Legacy","Unburned"
"1003","GASH",1980,NA,49,"3",594,"Legacy","Unburned"
"1003","ARUV",1980,NA,15,"1",594,"Legacy","Unburned"
"1003","VAME",1980,NA,122,"1",594,"Legacy","Unburned"
"1005","ACCI",1980,NA,1,"2",518,"Legacy","Unburned"
"1005","HEMI",1980,NA,54,"1",518,"Legacy","Unburned"
"1005","CHUM",1980,NA,26,"1",518,"Legacy","Unburned"
"1005","MOSS",1980,NA,79,"3",518,"Legacy","Unburned"
"1005","HODI",1980,NA,59,"1",518,"Legacy","Unburned"
"1005","MANE",1980,NA,76,"1",518,"Legacy","Unburned"
"1005","LIBO",1980,NA,64,"1",518,"Legacy","Unburned"
"1006","MANE",1980,NA,76,"2",671,"Legacy","Unburned"
"1006","CHUM",1980,NA,26,"1",671,"Legacy","Unburned"
"1006","HODI",1980,NA,59,"1",671,"Legacy","Unburned"
"1006","ACGL",1980,NA,2,"1",671,"Legacy","Unburned"
"1006","ACCI",1980,NA,1,"1",671,"Legacy","Unburned"
"1006","OSCH",1980,NA,82,"1",671,"Legacy","Unburned"
"1006","AMAL",1980,NA,10,"1",671,"Legacy","Unburned"
"1006","MOSS",1980,NA,79,"4",671,"Legacy","Unburned"
"1008","GASH",1980,NA,49,"2",594,"Legacy","Unburned"
"1008","TABR",1980,NA,114,"1",594,"Legacy","Unburned"
"1008","CHUM",1980,NA,26,"1",594,"Legacy","Unburned"
"1008","MARA",1980,NA,77,"1",594,"Legacy","Unburned"
"1008","MOSS",1980,NA,79,"3",594,"Legacy","Unburned"
"1008","MANE",1980,NA,76,"3",594,"Legacy","Unburned"
"1008","ACCI",1980,NA,1,"2",594,"Legacy","Unburned"
"1009","GASH",1980,NA,49,"5",381,"Legacy","Unburned"
"1009","VAPA",1980,NA,123,"1",381,"Legacy","Unburned"
"1009","MOSS",1980,NA,79,"5",381,"Legacy","Unburned"
"1009","VAME",1980,NA,122,"1",381,"Legacy","Unburned"
"1010","CLUN",1980,NA,28,"2",721,"Legacy","Unburned"
"1010","PTAQ",1980,NA,95,"1",721,"Legacy","Unburned"
"1010","POMU",1980,NA,91,"1",721,"Legacy","Unburned"
"1010","MARA",1980,NA,77,"3",721,"Legacy","Unburned"
"1011","GASH",1980,NA,49,"2",948,"Legacy","Unburned"
"1011","ACCI",1980,NA,1,"1",948,"Legacy","Unburned"
"1011","PAMY",1980,NA,83,"1",948,"Legacy","Unburned"
"1011","MANE",1980,NA,76,"1",948,"Legacy","Unburned"
"1011","MOSS",1980,NA,79,"3",948,"Legacy","Unburned"
"1011","GOOB",1980,NA,51,"1",948,"Legacy","Unburned"
"1011","SAXX",1980,NA,104,"1",948,"Legacy","Unburned"
"1011","LIBO",1980,NA,64,"1",948,"Legacy","Unburned"
"1011","CHUM",1980,NA,26,"1",948,"Legacy","Unburned"
"1011","VAME",1980,NA,122,"2",948,"Legacy","Unburned"
"1012","RUPA",1980,NA,99,"4",719,"Legacy","Unburned"
"1012","PTAQ",1980,NA,95,"2",719,"Legacy","Unburned"
"1012","ACRU",1980,NA,4,"1",719,"Legacy","Unburned"
"1012","MOXX",1980,NA,80,"1",719,"Legacy","Unburned"
"1012","COST",1980,NA,32,"4",719,"Legacy","Unburned"
"1013","MOSS",1980,NA,79,"3",1137,"Legacy","Unburned"
"1013","CLUN",1980,NA,28,"1",1137,"Legacy","Unburned"
"1013","VAAL",1980,NA,120,"3",1137,"Legacy","Unburned"
"1013","LIBO",1980,NA,64,"2",1137,"Legacy","Unburned"
"1013","VAME",1980,NA,122,"1",1137,"Legacy","Unburned"
"1014","VAPA",1980,NA,123,"3",686,"Legacy","Unburned"
"1014","MEFE",1980,NA,78,"1",686,"Legacy","Unburned"
"1014","COCA",1980,NA,30,"2",686,"Legacy","Unburned"
"1014","LIBO",1980,NA,64,"1",686,"Legacy","Unburned"
"1014","MOSS",1980,NA,79,"4",686,"Legacy","Unburned"
"1015","VAAL",1980,NA,120,"1",1218,"Legacy","Unburned"
"1015","MOSS",1980,NA,79,"3",1218,"Legacy","Unburned"
"1016","HELA",1980,NA,53,"1",746,"Legacy","Unburned"
"1016","ACCI",1980,NA,1,"4",746,"Legacy","Unburned"
"1016","PTAQ",1980,NA,95,"2",746,"Legacy","Unburned"
"1016","THOC",1980,NA,115,"2",746,"Legacy","Unburned"
"1016","ALSI",1980,NA,9,"2",746,"Legacy","Unburned"
"1016","MARA",1980,NA,77,"3",746,"Legacy","Unburned"
"1016","SAXX",1980,NA,104,"3",746,"Legacy","Unburned"
"1017","MOSS",1980,NA,79,"2",1264,"Legacy","Unburned"
"1017","PTAQ",1980,NA,95,"1",1264,"Legacy","Unburned"
"1017","POMU",1980,NA,91,"1",1264,"Legacy","Unburned"
"1017","SAXX",1980,NA,104,"2",1264,"Legacy","Unburned"
"1017","HIAL",1980,NA,56,"1",1264,"Legacy","Unburned"
"1017","CHUM",1980,NA,26,"1",1264,"Legacy","Unburned"
"1017","VAME",1980,NA,122,"2",1264,"Legacy","Unburned"
"1017","PAMY",1980,NA,83,"2",1264,"Legacy","Unburned"
"1017","GAOV",1980,NA,48,"2",1264,"Legacy","Unburned"
"1018","PAMY",1980,NA,83,"1",793,"Legacy","Unburned"
"1018","CHUM",1980,NA,26,"1",793,"Legacy","Unburned"
"1018","MANE",1980,NA,76,"1",793,"Legacy","Unburned"
"1018","AMAL",1980,NA,10,"1",793,"Legacy","Unburned"
"1018","VAXX",1980,NA,126,"2",793,"Legacy","Unburned"
"1018","LIBO",1980,NA,64,"1",793,"Legacy","Unburned"
"1019","LIBO",1980,NA,64,"1",827,"Legacy","Unburned"
"1019","MOSS",1980,NA,79,"3",827,"Legacy","Unburned"
"1019","GASH",1980,NA,49,"3",827,"Legacy","Unburned"
"1019","VAAL",1980,NA,120,"1",827,"Legacy","Unburned"
"1019","MANE",1980,NA,76,"2",827,"Legacy","Unburned"
"1019","CHUM",1980,NA,26,"1",827,"Legacy","Unburned"
"1019","PAMY",1980,NA,83,"1",827,"Legacy","Unburned"
"1020","CHUM",1980,NA,26,"1",976,"Legacy","Unburned"
"1020","MOSS",1980,NA,79,"3",976,"Legacy","Unburned"
"1020","VAXX",1980,NA,126,"1",976,"Legacy","Unburned"
"1021","MEFE",1980,NA,78,"1",759,"Legacy","Unburned"
"1021","OPHO",1980,NA,81,"1",759,"Legacy","Unburned"
"1021","MOSS",1980,NA,79,"3",759,"Legacy","Unburned"
"1021","VAXX",1980,NA,126,"1",759,"Legacy","Unburned"
"1021","POMU",1980,NA,91,"1",759,"Legacy","Unburned"
"1021","TITR",1980,NA,116,"1",759,"Legacy","Unburned"
"1021","LIBO",1980,NA,64,"1",759,"Legacy","Unburned"
"1021","VIXX",1980,NA,130,"1",759,"Legacy","Unburned"
"1022","VAXX",1980,NA,126,"2",1008,"Legacy","Unburned"
"1022","LIBO",1980,NA,64,"1",1008,"Legacy","Unburned"
"1022","MOSS",1980,NA,79,"3",1008,"Legacy","Unburned"
"1023","LIBO",1980,NA,64,"2",690,"Legacy","Unburned"
"1023","VAXX",1980,NA,126,"1",690,"Legacy","Unburned"
"1023","MEFE",1980,NA,78,"2",690,"Legacy","Unburned"
"1023","PAMY",1980,NA,83,"2",690,"Legacy","Unburned"
"1023","CHUM",1980,NA,26,"2",690,"Legacy","Unburned"
"1023","MOSS",1980,NA,79,"2",690,"Legacy","Unburned"
"1024","MOSS",1980,NA,79,"2",1321,"Legacy","Unburned"
"1024","RHAL",1980,NA,96,"1",1321,"Legacy","Unburned"
"1024","VAME",1980,NA,122,"3",1321,"Legacy","Unburned"
"1025","MANE",1980,NA,76,"2",742,"Legacy","Unburned"
"1025","MOSS",1980,NA,79,"3",742,"Legacy","Unburned"
"1025","PAMY",1980,NA,83,"1",742,"Legacy","Unburned"
"1026","PAMY",1980,NA,83,"1",1489,"Legacy","Unburned"
"1026","SOSI",1980,NA,108,"1",1489,"Legacy","Unburned"
"1026","ARUV",1980,NA,15,"1",1489,"Legacy","Unburned"
"1026","VAME",1980,NA,122,"2",1489,"Legacy","Unburned"
"1026","GAOV",1980,NA,48,"1",1489,"Legacy","Unburned"
"1026","MOSS",1980,NA,79,"2",1489,"Legacy","Unburned"
"1027","GYDR",1980,NA,52,"1",746,"Legacy","Unburned"
"1027","ATFI",1980,NA,18,"1",746,"Legacy","Unburned"
"1027","POMU",1980,NA,91,"2",746,"Legacy","Unburned"
"1027","ACCI",1980,NA,1,"2",746,"Legacy","Unburned"
"1027","TITR",1980,NA,116,"1",746,"Legacy","Unburned"
"1027","VAAL",1980,NA,120,"2",746,"Legacy","Unburned"
"1029","MEFE",1980,NA,78,"2",1064,"Legacy","Unburned"
"1029","LIBO",1980,NA,64,"1",1064,"Legacy","Unburned"
"1029","MOSS",1980,NA,79,"3",1064,"Legacy","Unburned"
"1029","VAAL",1980,NA,120,"2",1064,"Legacy","Unburned"
"1029","CLUN",1980,NA,28,"1",1064,"Legacy","Unburned"
"1029","COCA",1980,NA,30,"1",1064,"Legacy","Unburned"
"1031","MOSS",1980,NA,79,"3",1189,"Legacy","Unburned"
"1031","COCA",1980,NA,30,"1",1189,"Legacy","Unburned"
"1031","TRBO",1980,NA,118,"1",1189,"Legacy","Unburned"
"1031","MEFE",1980,NA,78,"1",1189,"Legacy","Unburned"
"1031","VAPA",1980,NA,123,"1",1189,"Legacy","Unburned"
"1031","LIBO",1980,NA,64,"1",1189,"Legacy","Unburned"
"1031","VAME",1980,NA,122,"2",1189,"Legacy","Unburned"
"1031","VAAL",1980,NA,120,"1",1189,"Legacy","Unburned"
"1032","RHAL",1980,NA,96,"2",1459,"Legacy","Unburned"
"1032","RUPE",1980,NA,100,"1",1459,"Legacy","Unburned"
"1032","VAXX",1980,NA,126,"2",1459,"Legacy","Unburned"
"1032","MOSS",1980,NA,79,"3",1459,"Legacy","Unburned"
"1033","MOSS",1980,NA,79,"2",1274,"Legacy","Unburned"
"1033","VAME",1980,NA,122,"2",1274,"Legacy","Unburned"
"1033","CHUM",1980,NA,26,"1",1274,"Legacy","Unburned"
"1033","PAMY",1980,NA,83,"2",1274,"Legacy","Unburned"
"1034","PTAQ",1980,NA,95,"1",706,"Legacy","Unburned"
"1034","LIBO",1980,NA,64,"2",706,"Legacy","Unburned"
"1034","MOSS",1980,NA,79,"3",706,"Legacy","Unburned"
"1034","ACCI",1980,NA,1,"2",706,"Legacy","Unburned"
"1034","ATFI",1980,NA,18,"1",706,"Legacy","Unburned"
"1034","CLUN",1980,NA,28,"1",706,"Legacy","Unburned"
"1034","COCA",1980,NA,30,"2",706,"Legacy","Unburned"
"1034","BLSP",1980,NA,20,"1",706,"Legacy","Unburned"
"1034","GAOV",1980,NA,48,"1",706,"Legacy","Unburned"
"1034","VAXX",1980,NA,126,"3",706,"Legacy","Unburned"
"1034","MANE",1980,NA,76,"1",706,"Legacy","Unburned"
"1034","OPHO",1980,NA,81,"1",706,"Legacy","Unburned"
"1035","MANE",1980,NA,76,"1",1039,"Legacy","Unburned"
"1035","ACCI",1980,NA,1,"1",1039,"Legacy","Unburned"
"1035","PAMY",1980,NA,83,"1",1039,"Legacy","Unburned"
"1035","LIBO",1980,NA,64,"1",1039,"Legacy","Unburned"
"1035","GOOB",1980,NA,51,"1",1039,"Legacy","Unburned"
"1035","MOSS",1980,NA,79,"4",1039,"Legacy","Unburned"
"1035","PTAQ",1980,NA,95,"1",1039,"Legacy","Unburned"
"1035","CHUM",1980,NA,26,"1",1039,"Legacy","Unburned"
"1035","GAOV",1980,NA,48,"1",1039,"Legacy","Unburned"
"1035","VAXX",1980,NA,126,"2",1039,"Legacy","Unburned"
"1037","VAXX",1980,NA,126,"1",981,"Legacy","Unburned"
"1037","ACCI",1980,NA,1,"3",981,"Legacy","Unburned"
"1037","VAME",1980,NA,122,"3",981,"Legacy","Unburned"
"1037","AMAL",1980,NA,10,"1",981,"Legacy","Unburned"
"1037","CHUM",1980,NA,26,"1",981,"Legacy","Unburned"
"1037","CLUN",1980,NA,28,"1",981,"Legacy","Unburned"
"1037","GAOV",1980,NA,48,"1",981,"Legacy","Unburned"
"1037","TRBO",1980,NA,118,"1",981,"Legacy","Unburned"
"1037","MANE",1980,NA,76,"2",981,"Legacy","Unburned"
"1037","LIBO",1980,NA,64,"1",981,"Legacy","Unburned"
"1037","PAMY",1980,NA,83,"1",981,"Legacy","Unburned"
"1037","PTAQ",1980,NA,95,"1",981,"Legacy","Unburned"
"1038","GAAP",1980,NA,46,"1",378,"Legacy","Unburned"
"1038","ACCI",1980,NA,1,"3",378,"Legacy","Unburned"
"1038","ATFI",1980,NA,18,"1",378,"Legacy","Unburned"
"1038","OPHO",1980,NA,81,"3",378,"Legacy","Unburned"
"1038","BLSP",1980,NA,20,"1",378,"Legacy","Unburned"
"1038","VAPA",1980,NA,123,"2",378,"Legacy","Unburned"
"1038","CLUN",1980,NA,28,"1",378,"Legacy","Unburned"
"1038","POMU",1980,NA,91,"2",378,"Legacy","Unburned"
"1038","GYDR",1980,NA,52,"1",378,"Legacy","Unburned"
"1039","ATFI",1980,NA,18,"1",971,"Legacy","Unburned"
"1039","OPHO",1980,NA,81,"1",971,"Legacy","Unburned"
"1039","BLSP",1980,NA,20,"1",971,"Legacy","Unburned"
"1039","CLUN",1980,NA,28,"1",971,"Legacy","Unburned"
"1039","MANE",1980,NA,76,"1",971,"Legacy","Unburned"
"1039","POMU",1980,NA,91,"1",971,"Legacy","Unburned"
"1041","VAAL",1980,NA,120,"1",1053,"Legacy","Unburned"
"1041","COCA",1980,NA,30,"1",1053,"Legacy","Unburned"
"1041","CLUN",1980,NA,28,"2",1053,"Legacy","Unburned"
"1041","LIBO",1980,NA,64,"2",1053,"Legacy","Unburned"
"1041","TITR",1980,NA,116,"1",1053,"Legacy","Unburned"
"1041","MOSS",1980,NA,79,"2",1053,"Legacy","Unburned"
"1042","POMU",1980,NA,91,"2",396,"Legacy","Unburned"
"1042","MANE",1980,NA,76,"2",396,"Legacy","Unburned"
"1042","LIBO",1980,NA,64,"1",396,"Legacy","Unburned"
"1042","TRBO",1980,NA,118,"1",396,"Legacy","Unburned"
"1042","VAPA",1980,NA,123,"2",396,"Legacy","Unburned"
"1043","VAAL",1980,NA,120,"1",1122,"Legacy","Unburned"
"1043","MOSS",1980,NA,79,"3",1122,"Legacy","Unburned"
"1043","CHUM",1980,NA,26,"1",1122,"Legacy","Unburned"
"1043","COXX",1980,NA,33,"1",1122,"Legacy","Unburned"
"1043","VAME",1980,NA,122,"2",1122,"Legacy","Unburned"
"1045","MOSS",1980,NA,79,"2",1075,"Legacy","Unburned"
"1045","CHUM",1980,NA,26,"1",1075,"Legacy","Unburned"
"1047","CLUN",1980,NA,28,"1",1127,"Legacy","Unburned"
"1047","VAAL",1980,NA,120,"2",1127,"Legacy","Unburned"
"1047","MOSS",1980,NA,79,"4",1127,"Legacy","Unburned"
"1047","VAME",1980,NA,122,"2",1127,"Legacy","Unburned"
"1049","MOSS",1980,NA,79,"3",589,"Legacy","Unburned"
"1053","MOSS",1980,NA,79,"2",1282,"Legacy","Unburned"
"1053","LIBO",1980,NA,64,"1",1282,"Legacy","Unburned"
"1055","PAMY",1980,NA,83,"1",1345,"Legacy","Unburned"
"1055","GAOV",1980,NA,48,"1",1345,"Legacy","Unburned"
"1055","MOSS",1980,NA,79,"2",1345,"Legacy","Unburned"
"1055","VAME",1980,NA,122,"1",1345,"Legacy","Unburned"
"1055","ARUV",1980,NA,15,"1",1345,"Legacy","Unburned"
"1057","MOSS",1980,NA,79,"2",1413,"Legacy","Unburned"
"1057","ALSI",1980,NA,9,"1",1413,"Legacy","Unburned"
"1057","VAME",1980,NA,122,"2",1413,"Legacy","Unburned"
"1057","CLUN",1980,NA,28,"1",1413,"Legacy","Unburned"
"1057","GAOV",1980,NA,48,"1",1413,"Legacy","Unburned"
"1059","VAME",1980,NA,122,"4",1582,"Legacy","Unburned"
"1059","RUXX",1980,NA,102,"1",1582,"Legacy","Unburned"
"1059","ARUV",1980,NA,15,"1",1582,"Legacy","Unburned"
"1061","VADE",1980,NA,121,"3",1656,"Legacy","Unburned"
"1061","MOSS",1980,NA,79,"2",1656,"Legacy","Unburned"
"1061","VAXX",1980,NA,126,"2",1656,"Legacy","Unburned"
"1061","ALSI",1980,NA,9,"2",1656,"Legacy","Unburned"
"1061","PAMY",1980,NA,83,"1",1656,"Legacy","Unburned"
"1061","PHEM",1980,NA,89,"1",1656,"Legacy","Unburned"
"1061","MEFE",1980,NA,78,"2",1656,"Legacy","Unburned"
"1063","PAMY",1980,NA,83,"1",1753,"Legacy","Unburned"
"1063","CLLA",1980,NA,27,"2",1753,"Legacy","Unburned"
"1063","ERXX",1980,NA,43,"1",1753,"Legacy","Unburned"
"1063","EPXX",1980,NA,40,"1",1753,"Legacy","Unburned"
"1063","LOXX",1980,NA,69,"1",1753,"Legacy","Unburned"
"1063","VADE",1980,NA,121,"2",1753,"Legacy","Unburned"
"1063","FEXX",1980,NA,44,"3",1753,"Legacy","Unburned"
"2001","SYAL",1980,NA,113,"1",838,"Legacy","Burned"
"2001","MARA",1980,NA,77,"1",838,"Legacy","Burned"
"2001","RUPA",1980,NA,99,"3",838,"Legacy","Burned"
"2001","PAMY",1980,NA,83,"2",838,"Legacy","Burned"
"2002","CEVE",1980,NA,25,"3",865,"Legacy","Burned"
"2002","SPBE",1980,NA,109,"1",865,"Legacy","Burned"
"2002","AGXX",1980,NA,7,"2",865,"Legacy","Burned"
"2002","CRCR",1980,NA,34,"1",865,"Legacy","Burned"
"2002","LOXX",1980,NA,69,"1",865,"Legacy","Burned"
"2002","CARU",1980,NA,23,"2",865,"Legacy","Burned"
"2002","BASA",1980,NA,19,"2",865,"Legacy","Burned"
"2002","ARUV",1980,NA,15,"2",865,"Legacy","Burned"
"2003","PEXX",1980,NA,86,"1",982,"Legacy","Burned"
"2003","PAMY",1980,NA,83,"2",982,"Legacy","Burned"
"2003","CARU",1980,NA,23,"2",982,"Legacy","Burned"
"2003","CEVE",1980,NA,25,"1",982,"Legacy","Burned"
"2005","CEVE",1980,NA,25,"2",1340,"Legacy","Burned"
"2005","CARU",1980,NA,23,"3",1340,"Legacy","Burned"
"2005","HIAL",1980,NA,56,"1",1340,"Legacy","Burned"
"2005","VAXX",1980,NA,126,"1",1340,"Legacy","Burned"
"2005","CHUM",1980,NA,26,"1",1340,"Legacy","Burned"
"2005","PAMY",1980,NA,83,"2",1340,"Legacy","Burned"
"2006","PAMY",1980,NA,83,"2",1766,"Legacy","Unburned"
"2006","ARCO",1980,NA,14,"2",1766,"Legacy","Unburned"
"2007","VAME",1980,NA,122,"4",1502,"Legacy","Burned"
"2007","CARU",1980,NA,23,"2",1502,"Legacy","Burned"
"2007","CEVE",1980,NA,25,"1",1502,"Legacy","Burned"
"2007","PAMY",1980,NA,83,"1",1502,"Legacy","Burned"
"2008","VAME",1980,NA,122,"2",1669,"Legacy","Unburned"
"2008","RULA",1980,NA,98,"1",1669,"Legacy","Unburned"
"2008","PHEM",1980,NA,89,"1",1669,"Legacy","Unburned"
"2008","MOSS",1980,NA,79,"1",1669,"Legacy","Unburned"
"2008","MEFE",1980,NA,78,"2",1669,"Legacy","Unburned"
"2009","VAME",1980,NA,122,"3",1551,"Legacy","Burned"
"2009","CHUM",1980,NA,26,"1",1551,"Legacy","Burned"
"2009","GOOB",1980,NA,51,"1",1551,"Legacy","Burned"
"2009","PAMY",1980,NA,83,"1",1551,"Legacy","Burned"
"2009","CARU",1980,NA,23,"1",1551,"Legacy","Burned"
"2011","THOC",1980,NA,115,"4",1504,"Legacy","Burned"
"2012","RULA",1980,NA,98,"1",1569,"Legacy","Unburned"
"2012","GOOB",1980,NA,51,"1",1569,"Legacy","Unburned"
"2012","VAXX",1980,NA,126,"3",1569,"Legacy","Unburned"
"2013","VIGL",1980,NA,129,"2",1553,"Legacy","Burned"
"2013","CAXX",1980,NA,24,"1",1553,"Legacy","Burned"
"2013","ALSI",1980,NA,9,"4",1553,"Legacy","Burned"
"2014","VAXX",1980,NA,126,"1",1425,"Legacy","Unburned"
"2014","MEFE",1980,NA,78,"2",1425,"Legacy","Unburned"
"2014","GOOB",1980,NA,51,"1",1425,"Legacy","Unburned"
"2014","RULA",1980,NA,98,"1",1425,"Legacy","Unburned"
"2015","PAMY",1980,NA,83,"1",1601,"Legacy","Burned"
"2015","THOC",1980,NA,115,"1",1601,"Legacy","Burned"
"2015","VAME",1980,NA,122,"2",1601,"Legacy","Burned"
"2015","CHUM",1980,NA,26,"1",1601,"Legacy","Burned"
"2016","PAMY",1980,NA,83,"4",1349,"Legacy","Unburned"
"2016","SAXX",1980,NA,104,"2",1349,"Legacy","Unburned"
"2016","AMAL",1980,NA,10,"1",1349,"Legacy","Unburned"
"2016","ARUV",1980,NA,15,"2",1349,"Legacy","Unburned"
"2016","CEVE",1980,NA,25,"1",1349,"Legacy","Unburned"
"2016","VAXX",1980,NA,126,"1",1349,"Legacy","Unburned"
"2017","VAME",1980,NA,122,"3",1546,"Legacy","Burned"
"2017","PAMY",1980,NA,83,"2",1546,"Legacy","Burned"
"2017","MEFE",1980,NA,78,"1",1546,"Legacy","Burned"
"2017","CHUM",1980,NA,26,"1",1546,"Legacy","Burned"
"2018","ACGL",1980,NA,2,"3",1214,"Legacy","Unburned"
"2018","RUPA",1980,NA,99,"1",1214,"Legacy","Unburned"
"2018","EPAN",1980,NA,39,"1",1214,"Legacy","Unburned"
"2018","LICO",1980,NA,66,"1",1214,"Legacy","Unburned"
"2018","SAXX",1980,NA,104,"4",1214,"Legacy","Unburned"
"2018","VAXX",1980,NA,126,"1",1214,"Legacy","Unburned"
"2018","SOSI",1980,NA,108,"1",1214,"Legacy","Unburned"
"2018","PAMY",1980,NA,83,"4",1214,"Legacy","Unburned"
"2019","LYAM",1980,NA,74,"1",1775,"Legacy","Burned"
"2019","THOC",1980,NA,115,"1",1775,"Legacy","Burned"
"2019","CAXX",1980,NA,24,"1",1775,"Legacy","Burned"
"2019","CLLA",1980,NA,27,"1",1775,"Legacy","Burned"
"2020","CARU",1980,NA,23,"1",872,"Legacy","Burned"
"2020","AMAL",1980,NA,10,"1",872,"Legacy","Burned"
"2020","HODI",1980,NA,59,"1",872,"Legacy","Burned"
"2020","ARCO",1980,NA,14,"1",872,"Legacy","Burned"
"2021","MEFE",1980,NA,78,"1",1802,"Legacy","Burned"
"2022","PAMY",1980,NA,83,"2",941,"Legacy","Burned"
"2022","ARUV",1980,NA,15,"3",941,"Legacy","Burned"
"2022","CLXX",1980,NA,29,"1",941,"Legacy","Burned"
"2022","SELA",1980,NA,105,"1",941,"Legacy","Burned"
"2022","CARU",1980,NA,23,"2",941,"Legacy","Burned"
"2022","AGXX",1980,NA,7,"2",941,"Legacy","Burned"
"2023","LUXX",1980,NA,73,"1",1776,"Legacy","Burned"
"2023","POXX",1980,NA,92,"2",1776,"Legacy","Burned"
"2023","ERGR",1980,NA,41,"1",1776,"Legacy","Burned"
"2023","FEXX",1980,NA,44,"3",1776,"Legacy","Burned"
"2023","CLLA",1980,NA,27,"2",1776,"Legacy","Burned"
"2024","SAXX",1980,NA,104,"2",938,"Legacy","Burned"
"2024","AMAL",1980,NA,10,"1",938,"Legacy","Burned"
"2024","RUPA",1980,NA,99,"1",938,"Legacy","Burned"
"2024","PTAQ",1980,NA,95,"2",938,"Legacy","Burned"
"2024","DIHO",1980,NA,37,"2",938,"Legacy","Burned"
"2024","EPAN",1980,NA,39,"1",938,"Legacy","Burned"
"2024","SOSI",1980,NA,108,"2",938,"Legacy","Burned"
"2024","ACGL",1980,NA,2,"2",938,"Legacy","Burned"
"2024","PREM",1980,NA,93,"3",938,"Legacy","Burned"
"2024","PAMY",1980,NA,83,"3",938,"Legacy","Burned"
"2025","CAME",1980,NA,21,"1",1899,"Legacy","Burned"
"2025","MEFE",1980,NA,78,"1",1899,"Legacy","Burned"
"2025","PHEM",1980,NA,89,"1",1899,"Legacy","Burned"
"2025","LUXX",1980,NA,73,"2",1899,"Legacy","Burned"
"2026","SPBE",1980,NA,109,"1",1132,"Legacy","Unburned"
"2026","PEFR",1980,NA,85,"1",1132,"Legacy","Unburned"
"2026","CEVE",1980,NA,25,"2",1132,"Legacy","Unburned"
"2026","SELA",1980,NA,105,"1",1132,"Legacy","Unburned"
"2026","SAXX",1980,NA,104,"2",1132,"Legacy","Unburned"
"2026","CARU",1980,NA,23,"2",1132,"Legacy","Unburned"
"2026","ARUV",1980,NA,15,"2",1132,"Legacy","Unburned"
"2026","PREM",1980,NA,93,"1",1132,"Legacy","Unburned"
"2026","ACMI",1980,NA,3,"1",1132,"Legacy","Unburned"
"2026","MOSS",1980,NA,79,"1",1132,"Legacy","Unburned"
"2026","PAMY",1980,NA,83,"2",1132,"Legacy","Unburned"
"2027","CEVE",1980,NA,25,"1",1722,"Legacy","Burned"
"2027","ARCO",1980,NA,14,"1",1722,"Legacy","Burned"
"2027","CARU",1980,NA,23,"3",1722,"Legacy","Burned"
"2027","LUXX",1980,NA,73,"1",1722,"Legacy","Burned"
"2027","PAMY",1980,NA,83,"2",1722,"Legacy","Burned"
"2027","JUCO",1980,NA,61,"1",1722,"Legacy","Burned"
"2028","CARU",1980,NA,23,"1",1147,"Legacy","Unburned"
"2028","PAMY",1980,NA,83,"3",1147,"Legacy","Unburned"
"2028","SAXX",1980,NA,104,"1",1147,"Legacy","Unburned"
"2028","ARUV",1980,NA,15,"2",1147,"Legacy","Unburned"
"2029","MEFE",1980,NA,78,"2",1724,"Legacy","Burned"
"2029","PAMY",1980,NA,83,"1",1724,"Legacy","Burned"
"2029","LULA",1980,NA,70,"1",1724,"Legacy","Burned"
"2029","VAXX",1980,NA,126,"2",1724,"Legacy","Burned"
"2030","ARUV",1980,NA,15,"2",1267,"Legacy","Unburned"
"2030","CARU",1980,NA,23,"4",1267,"Legacy","Unburned"
"2030","CEVE",1980,NA,25,"3",1267,"Legacy","Unburned"
"2030","MOSS",1980,NA,79,"1",1267,"Legacy","Unburned"
"2030","LOXX",1980,NA,69,"1",1267,"Legacy","Unburned"
"2030","SPBE",1980,NA,109,"1",1267,"Legacy","Unburned"
"2030","PAMY",1980,NA,83,"2",1267,"Legacy","Unburned"
"2031","FEXX",1980,NA,44,"1",1927,"Legacy","Unburned"
"2031","PAMY",1980,NA,83,"1",1927,"Legacy","Unburned"
"2031","VADE",1980,NA,121,"2",1927,"Legacy","Unburned"
"2031","HYCA",1980,NA,60,"1",1927,"Legacy","Unburned"
"2031","ARCO",1980,NA,14,"1",1927,"Legacy","Unburned"
"2032","VAXX",1980,NA,126,"3",1274,"Legacy","Unburned"
"2032","CARU",1980,NA,23,"3",1274,"Legacy","Unburned"
"2032","CHUM",1980,NA,26,"2",1274,"Legacy","Unburned"
"2033","LULY",1980,NA,71,"1",2122,"Legacy","Burned"
